Title,Post id,User ID,User name,User reputation,Time posted,Votes,Answers,Views,Tag,Is closed?
Against the Storm passive effects,401529,17678,harry,"1,124",Feb 7 at 15:50,1,1,28,['against-the-storm'],False
"What do the stars under ""can produce"" mean in against the storm",401527,17678,harry,"1,124",Feb 7 at 15:06,1,1,36,['against-the-storm'],False
No furniture bench in main hall despite several attempts,401526,299826,ladymeme,11,Feb 7 at 14:46,1,0,27,"['the-elder-scrolls-v-skyrim', 'ps4', 'skyrim-hearthfire']",False
Can Frey die in Forspoken?,401525,299825,effectivelongjumper,1,Feb 7 at 14:41,-4,0,45,['forspoken'],False
Sonic Origins (2022 video game compilation) for Xbox Series S vs. homemade Raspberry (retro gaming distro) [closed],401522,61811,sybil,466,Feb 7 at 4:18,-1,1,68,"['version-differences', 'xbox-series-x-series-s', 'sonic-origins']",True
How do I activate the Chunky Kong switch outside Gloomy Galleon's entrance?,401521,181240,stevoisiak,29.8k,Feb 7 at 0:48,0,1,37,['donkey-kong-64'],False
What opens the new locked containers on Streets of Tarkov?,401519,277996,chebureki,629,Feb 6 at 22:35,1,1,66,['escape-from-tarkov'],False
How do melee trades work in halo infinite?,401518,249046,millard,"2,085",Feb 6 at 20:10,0,0,28,['halo-infinite'],False
I am looking for a futuristic motorcycle racing game played in the past [closed],401516,299810,shaurya-trivedi,1,Feb 6 at 19:16,-1,0,35,"['nintendo-gamecube', 'f-zero']",True
What Pokemon characteristics are immutable as of gen 9 games?,401515,245393,oddrigue,133,Feb 6 at 18:48,3,1,86,"['pokemon-scarlet-violet', 'pokemon-ninth-generation']",False
Efficient on-ramp for 2 rail lanes,401513,299795,anoe,151,Feb 6 at 13:11,5,1,66,['factorio'],False
Missing romance dialog option in Greedfall,401506,44445,roddy-of-the-frozen-peas,"3,654",Feb 5 at 21:39,2,0,29,['greedfall'],False
My NMM unwarrantedly changed to GOG,401505,26384,zadekiel-sephirah,549,Feb 5 at 20:00,0,0,112,"['the-elder-scrolls-v-skyrim', 'nexus-mod-manager']",False
Why do Pokemon sometimes have dark stripes in Pokemon Go?,401503,176959,lysander,527,Feb 5 at 19:25,12,1,4k,['pokemon-go'],False
you can copy and paste words in minecraft [closed],401500,299764,leo-lafleur,1,Feb 5 at 13:37,-3,0,43,['minecraft-commands'],True
Does Beaver Woodie get poison damage in Hamlet's Gas Rainforest?,401499,299316,gigisan,111,Feb 5 at 12:05,1,1,21,"['dont-starve', 'dont-starve-hamlet']",False
"As a stealth character, why would I use knives?",401498,30241,oblivious-sage,"5,991",Feb 5 at 4:54,7,0,111,['cyberpunk-2077'],False
